Crime Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
MURDER,1,2,0,1,1,0,1,1,2,1,0,2,12
RAPE,0,1,4,2,0,0,0,0,0,0,0,0,10
ROBBERY,5,4,6,7,8,7,3,7,3,6,4,10,70
AGGRAVATED ASSAULT,16,15,20,20,24,18,20,23,24,20,21,8,229
BURGLARY,14,10,5,3,6,9,3,8,11,10,5,8,92
LARCENY,8,22,20,19,27,35,25,17,19,32,23,23,270
MV LARCENY,3,4,1,3,1,2,2,5,1,3,3,0,28
ARSON,0,0,0,0,0,0,0,0,0,0,0,1,3
KIDNAPPING,0,0,0,0,1,1,1,0,0,0,0,1,5
CONTROLLED SUBSTANCES,19,4,14,12,8,10,16,10,15,12,16,11,147
DANGEROUS WEAPONS,7,4,5,10,11,8,9,4,3,3,7,4,75
SEX OFFENSE,4,0,2,4,3,1,2,4,3,2,2,0,27
FORGERY,0,0,0,0,0,0,0,0,0,0,0,0,5
PROSTITUTION,0,0,1,0,0,0,0,0,0,0,0,0,1
STOLEN PROPERTY,6,3,2,1,5,4,2,5,1,1,7,1,38
CRIMINAL MISCHIEF,8,17,18,6,15,21,14,15,17,9,20,13,173
FRAUD,3,0,0,0,0,0,0,0,0,0,1,4,23
GAMBLING,0,0,0,0,0,0,0,0,0,0,0,0,1
OFFENSES AGAINST PUBLIC ORDER,0,0,0,0,0,0,0,0,0,0,0,0,2
SIMPLE ASSAULT,18,17,17,17,17,23,28,23,27,16,24,20,15
OFFENSES AGAINST FAMILY,0,0,0,0,0,0,0,0,0,0,0,1,1
DWI,7,4,4,4,9,4,2,3,2,10,9,7,7
UNAUTHORIZED USE,1,0,0,0,0,0,0,0,0,0,0,0,3
POSS OF BURGLARY TOOLS,0,0,0,0,0,0,0,0,0,0,0,0,3
DISORDERLY CONDUCT,0,0,0,0,0,0,0,0,0,0,0,0,17
ALL OTHER,21,37,26,62,21,36,33,61,43,39,43,43,45
GCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Total,141,149,151,171,163,196,162,194,173,176,182,139,1997
