Crime Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
MURDER,2,0,1,0,6,0,2,2,2,1,2,0,18
RAPE,3,9,8,4,5,6,6,8,4,0,3,1,56
ROBBERY,12,7,11,27,10,19,16,12,21,16,13,19,183
AGGRAVATED ASSAULT,42,41,46,34,58,55,81,59,62,62,50,50,640
BURGLARY,31,23,17,29,25,26,32,41,33,41,28,45,371
LARCENY,149,123,136,151,168,174,28,27,232,238,224,189,2229
MV LARCENY,21,16,22,23,21,29,29,30,22,39,28,37,317
ARSON,0,0,0,0,0,0,1,0,0,0,0,0,7
KIDNAPPING,4,2,0,0,1,1,1,1,1,1,1,1,17
CONTROLLED SUBSTANCES,3,2,4,3,3,3,3,3,2,4,3,1,34
DANGEROUS WEAPONS,9,6,10,14,18,17,12,15,15,14,11,15,176
SEX OFFENSE,7,1,4,5,6,14,4,4,4,6,6,1,61
EXTORTION,0,0,0,0,0,0,0,1,1,0,0,1,4
FORGERY,2,0,1,0,0,0,3,3,3,2,1,0,12
STOLEN PROPERTY,4,1,2,3,0,2,3,1,1,0,1,2,20
COERCION,0,0,0,0,0,0,0,0,0,0,0,0,1
CRIMINAL MISCHIEF,115,103,113,138,140,135,129,143,140,142,135,117,1550
FRAUD,6,7,13,10,13,13,13,13,13,13,13,13,108
GAMBLING,0,0,0,0,0,0,0,0,0,0,0,0,0
OFFENSES AGAINST PUBLIC ORDER,0,0,0,0,0,0,0,0,0,0,0,0,1
EMBEZZLEMENT,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMPLE ASSAULT,57,46,47,67,53,77,85,68,77,81,61,65,784
OFFENSES AGAINST FAMILY,0,0,0,0,0,0,0,0,0,0,0,0,1
DWI,0,1,1,0,0,0,0,0,0,0,0,1,4
UNAUTHORIZED USE,3,4,1,4,7,5,2,3,6,7,6,5,53
POSS OF BURGLARY TOOLS,0,0,0,0,0,0,0,0,0,0,0,0,0
DISORDERLY CONDUCT,0,0,0,0,0,0,0,0,0,0,0,0,8
ALL OTHER,105,103,145,116,124,135,142,137,140,138,150,165,1600
GCO,0,0,0,0,0,0,0,0,0,2,1,0,9
Grand Total,575,495,586,634,654,713,791,775,775,775,731,732,8264
