Crime Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
MURDER,0,0,0,0,5,3,0,1,0,0,2,1,12
RAPE,0,0,4,0,2,1,1,0,0,0,0,1,9
ROBBERY,1,3,2,8,2,8,6,5,7,3,2,3,50
AGGRAVATED ASSAULT,15,17,9,12,22,19,18,21,16,19,14,11,193
BURGLARY,5,1,7,4,5,13,5,7,10,5,10,5,77
LARCENY,16,9,17,12,12,11,24,33,31,27,42,12,251
MV LARCENY,5,4,1,0,1,1,1,2,5,1,2,2,28
ARSON,0,0,0,1,1,1,1,1,1,0,2,0,6
KIDNAPPING,0,0,0,0,0,0,0,0,0,0,2,2,7
CONTROLLED SUBSTANCES,13,29,11,6,19,8,1,7,14,9,13,8,143
DANGEROUS WEAPONS,4,9,1,2,8,9,6,6,9,20,4,4,82
SEX OFFENSE,0,0,2,2,2,1,2,0,0,1,5,1,14
FORGERY,1,0,1,0,0,0,0,0,0,0,0,1,5
PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,7
STOLEN PROPERTY,5,5,1,2,1,1,1,1,1,1,2,1,41
CRIMINAL MISCHIEF,9,6,1,1,1,1,1,1,1,1,1,1,137
FRAUD,0,2,1,1,1,1,1,1,1,1,2,1,17
GAMBLING,0,0,0,0,0,0,0,0,0,0,0,0,7
OFFENSES AGAINST PUBLIC ORDER,0,1,1,1,1,1,1,1,1,1,1,1,8
SIMPLE ASSAULT,19,13,17,18,15,21,14,12,25,17,16,23,210
OFFENSES AGAINST FAMILY,0,0,0,0,0,0,0,0,0,0,0,0,7
DWI,5,10,10,10,10,10,10,10,10,10,10,10,76
UNAUTHORIZED USE,0,0,0,0,0,0,0,0,0,0,0,0,2
POSS OF BURGLARY TOOLS,0,0,0,0,0,0,0,0,0,0,0,0,1
DISORDERLY CONDUCT,0,0,2,1,1,1,1,1,1,1,2,1,19
ALL OTHER,16,14,42,21,24,18,1,1,1,1,2,23,463
GCO,1,0,1,0,0,0,0,0,0,0,1,0,3
Grand Total,115,124,144,111,115,179,147,204,240,181,155,114,1859
