Crime Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
MURDER,0,1,1,2,3,4,2,0,2,1,1,2,20
RAPE,7,5,7,3,7,4,5,7,4,4,6,3,62
ROBBERY,22,16,14,25,22,16,31,22,25,19,17,22,251
AGGRAVATED ASSAULT,48,42,47,47,45,53,62,64,44,69,55,36,611
BURGLARY,45,34,39,39,43,35,33,69,61,35,21,24,468
LARCENY,214,237,210,196,263,220,236,223,213,240,204,188,2542
MV LARCENY,42,50,40,31,43,49,48,33,43,25,43,28,465
ARSON,2,0,2,2,2,2,2,1,5,3,2,1,20
KIDNAPPING,0,1,2,3,1,2,1,1,1,4,2,1,19
CONTROLLED SUBSTANCES,4,2,3,3,1,1,1,1,1,2,4,3,40
DANGEROUS WEAPONS,12,7,11,22,21,16,12,12,12,12,9,17,160
SEX OFFENSE,3,3,1,1,1,1,1,1,1,1,5,5,85
EXTORTION,0,0,1,1,1,1,1,1,1,1,1,1,8
FORGERY,5,3,1,1,1,1,1,1,1,1,1,1,18
STOLEN PROPERTY,1,1,1,1,1,1,1,1,1,1,1,1,2
COERCION,0,0,0,0,0,0,0,0,0,0,0,0,1
CRIMINAL MISCHIEF,129,118,141,159,116,139,158,159,153,143,122,122,1664
FRAUD,15,10,10,19,17,11,10,15,15,1,1,12,137
GAMBLING,0,0,0,0,0,0,0,0,0,0,0,0,1
OFFENSES AGAINST PUBLIC ORDER,0,0,0,1,1,1,0,0,0,0,0,0,3
EMBEZZLEMENT,0,0,0,0,0,0,0,0,0,0,0,0,9
SIMPLE ASSAULT,77,64,59,96,75,76,75,76,95,90,84,73,956
OFFENSES AGAINST FAMILY,0,0,0,0,0,0,0,0,0,0,0,0,2
DWI,1,0,0,0,0,0,0,0,0,0,0,1,4
UNAUTHORIZED USE,6,4,3,2,1,1,1,1,1,2,2,2,39
POSS OF BURGLARY TOOLS,0,0,0,0,0,0,0,0,0,0,0,0,0
DISORDERLY CONDUCT,0,1,2,0,0,0,0,1,1,1,1,2,9
ALL OTHER,148,121,118,138,158,159,178,185,180,182,182,164,1868
GCO,0,0,0,0,1,1,1,1,0,0,0,0,4
Grand Total,784,720,717,802,833,786,880,892,860,848,755,698,985
